username,mean_rating,std_dev_rating,min_rating,max_rating,game_count
carlovittorino,2240.0,,2240,2240,1
castrillon06,2190.0,,2190,2190,1
cbenique,2350.3333333333335,51.59780357082402,2292,2390,3
ccpp1,2335.0,,2335,2335,1
checkmatequen,2303.0,,2303,2303,1
chess1lover,2248.5,82.73149339882606,2190,2307,2
chessbia,2162.0,,2162,2162,1
chesschief24,2450.0,,2450,2450,1
chesscoachlondon,2288.0,5.656854249492381,2284,2292,2
chessdoll90,2357.2,6.723094525588635,2348,2366,5
chesselephant,2571.0,,2571,2571,1
chessraccon,2276.5,0.7071067811865476,2276,2277,2
chessrunner49,2302.0,7.382411530116731,2292,2312,5
chillooout,2338.0,,2338,2338,1
christiaancordova,2169.0,,2169,2169,1
chronos200,2218.0,,2218,2218,1
classicalMpk,2343.0,,2343,2343,1
d8821,2382.0,,2382,2382,1
danzha,2191.0,4.242640687119285,2188,2194,2
davidmarcinkovic,2338.0,,2338,2338,1
davidpanizza,2368.0,10.0,2358,2378,3
davoz94,2280.0,,2280,2280,1
dgajf54,2276.0,,2276,2276,1
digilik,2166.0,,2166,2166,1
dima7ru,2467.0,,2467,2467,1
dimas121212,2230.0,,2230,2230,1
dimke2802,2464.0,,2464,2464,1
diolley80,2421.6666666666665,4.725815626252564,2418,2427,3
djangoreinhardt,2291.5,4.949747468305833,2288,2295,2
dobur,2197.0,,2197,2197,1
donaldtrumpjrsdogsdoodoo,2188.0,,2188,2188,1
donotmessagemeplease,2218.0,,2218,2218,1
drAndrej,2250.0,,2250,2250,1
dragonknight99,2362.0,,2362,2362,1
ehsi,2263.0,4.242640687119285,2260,2266,2
electricmistress,2251.0,,2251,2251,1
eman_bar,2201.0,,2201,2201,1
epeve,2197.0,,2197,2197,1
estebandel,2220.0,,2220,2220,1
etrengereid,2164.0,,2164,2164,1
expruc,2306.0,,2306,2306,1
fabi2005,2361.0,,2361,2361,1
felipelobo,2190.0,,2190,2190,1
fieri151,2182.5,0.7071067811865476,2182,2183,2
fighterphyo,2169.0,,2169,2169,1
filaret777,2177.0,21.213203435596427,2162,2192,2
firsttomoe,2385.0,14.142135623730951,2375,2395,2
