username,game_count,elo
profaVa,6,2397.0
antikid,6,1905.0
bkan80,6,2050.0
Xzode,6,2375.0
drydry33,6,1874.0
EL_KICK,6,1793.0
Lamichealre,6,1036.0
Andrews12345,6,1086.0
pavdu69,6,1445.0
BessmertniLev,6,2628.0
CHchessik,6,1945.0
ambo666,6,2476.0
bspv9,6,1316.0
Maq11,6,1323.0
JeanFarinet,6,1633.0
roundaboutbuilder,6,1836.0
Biswa94,6,1318.0
muzafferkal2013,6,1401.0
gao239,6,1366.0
Newfoundlandcoombs,6,1700.0
Akagamass,6,1321.0
anfetamina,6,1576.0
mjidzakaria,6,1641.0
KingKiller1111,6,1210.0
Joseluis1p967,6,1052.0
Heartless_MF,6,2133.0
Vicmary2005,6,2121.0
Andiamo62,6,2187.0
enjoyplay,6,1515.0
pasqualemolinaro1,6,1590.0
alejoroldn,6,1398.0
bers7rk,6,2389.0
ralfi1,6,2456.0
Gyges2,6,2077.0
Spartak-Moskau1922,6,2602.0
shoxo,6,1699.0
shiitaco,6,2044.0
KingofCheapos,6,2461.0
Bighungus,6,906.0
samisahi,6,2757.0
Arvinder_Amateur,6,2338.0
pecker06,6,1033.0
Atomrod,6,2564.0
Pablo_27,6,2267.0
malyy,6,2549.0
Lift-1,6,1475.0
Aut0poi3sis,6,1760.0
Zhigalko_Sergei,6,2983.0
jobertina,6,1742.0
totoroo,6,2299.0
gabcas,6,1157.8333333333333
Brucelevi,6,1683.0
Sidonya,6,2424.0
andreikuzminmassage,6,1690.0
PajamaStockfish,6,1492.0
femilesi,6,1933.0
zankyw,6,1087.0
Alffil,6,1904.0
archibaljd,6,1803.0
carlomagno81,6,981.0
aurasphere03,6,1488.0
torrenegra66,6,1892.0
pressive,6,2796.0
jparkerdiamond,6,1704.0
yudinetz,6,2467.0
jorgesebasti,6,1950.0
bengmro,6,1871.0
Responsible_Landgrav,6,2332.0
thomakis24,6,1730.0
ViktorKul,6,1959.0
R_I,6,1672.0
blundermammii,6,787.0
FirstVF4,6,1950.0
shahvar1979,6,1809.0
MR_SA,6,2317.0
ChessBisdak_YT,6,2498.0
Ngandung,6,2226.0
marcattiyeh,6,1791.0
F14ever,6,1147.0
Dbun,6,1786.0
Alf3993,6,1431.0
warrior_adept,6,2247.0
AKing2024,6,2890.0
spinne11,6,1804.0
librepawn,6,2004.0
megaman7de,6,1955.0
ferch1n1,6,2430.0
ETS1331,6,1724.0
Floman,6,2227.0
umutbekiragaoglu,6,2428.0
B3nG1,6,1642.0
Lecafe,6,2006.0
ElephantMushroom,6,2408.0
iceonboard,6,2594.0
Neverhood,6,2675.0
Cyapec,6,2110.0
Pingumachetero,6,2214.0
bkmzzzzz,6,2229.0
sravikumarj,6,1644.0
Ocean_breath,6,1715.0
unknown-maestro_2450,6,2632.0
elhasznalon,6,1844.0
AlexTriapishko,6,2788.0
jvettel,6,1236.0
GGV71,6,1799.0
Prerunner6105,6,1944.0
plutarco11,6,1897.0
Rvera,6,2364.8333333333335
clarkinthepark,6,2000.0
MichaelZt,6,1519.0
makeareason,6,2606.0
Alpha_Cesar,6,2304.0
sebsep,6,2613.0
Bartavelle,6,2318.0
alparslan_1071,6,1757.0
Khromkin,6,2347.0
dkcohio,6,1787.0
learning_slow,6,1710.0
Hopsel6,6,1424.0
LittlePumpkin,6,2766.0
MaurizioBrancaleoni,6,2398.0
Shams777,6,1679.0
Old_Turtle,6,1451.0
gugu76,6,1283.0
ImpactFactor,6,2637.0
urriellu1,6,1932.0
j-heidari2021,6,2103.0
podzol88,6,1763.0
zaratstr,6,1257.0
Max_Kon_77,6,1696.0
Osama075,6,1308.0
rbuser14,6,1528.0
Drummer_33,6,2257.0
galaxy42,6,2460.0
zug4321,6,1552.0
MazDaY,6,1746.0
AlbrechtSchnabel,6,1885.0
crazyknightshadow,6,2299.0
PeteMcCabe,6,1561.0
DT64,6,1459.0
BorisOAnimal,6,2436.0
bagnuk202,6,1074.0
didymuscoombe,6,1361.0
Salvatore-Giovanni,6,2068.0
An7on,6,1246.0
Abul-abbas,6,1632.0
Mherl,6,1600.0
Aldrin513,6,1640.0
Al_BundyZG,6,2304.0
Alowiqplayer,6,1869.0
CM110,6,1770.0
tfang,6,2436.0
ArmanGhevondyanchess,6,2374.0
cn_ua,6,2568.0
Gkasioni,6,1078.0
KinstantinJ,6,1466.0
elsayed6876,6,1571.5
OtdelGKH,6,1255.0
DEadpoOlShIkAmarU,6,2218.0
Jay6594,6,1577.0
KrazyPotato,6,1697.0
Aryanvig,6,2042.0
praveenplayschess,6,1101.0
eten20001,6,1747.0
chesslower,6,2118.0
Taliskman47,6,1226.0
Julietta2022,6,1494.0
blakebartley,6,1749.0
rsn_klaude,6,2107.0
Argelia2007,6,906.0
bijangholipoor,6,1660.0
SaliSaid,6,1596.0
max1hr,6,1772.0
raullmaciel,6,1870.0
summer000,6,1734.0
vladimir58d,6,1680.0
Berg72,6,2038.0
QyNoob,6,1620.0
h01xz,6,1721.0
oleeeg01,6,1265.0
Datechma,6,1365.0
francishill,6,1203.0
Nijigajan,6,1912.0
Orlando_Gloom,6,2634.0
Ay1010,6,2324.0
arfds,6,1798.0
Murat_Chess9,6,2322.0
AlexFort34,6,1462.0
HemiCinder,6,2123.0
sanjayghora,6,1758.0
juleexis,6,1816.0
Berserk-59,6,1831.0
Gambitgourmand,6,2304.0
Nordhorn1973,6,2377.0
Dolgorukij,6,2391.0
r0bsen89,6,1557.0
aledui82,6,1349.0
fmeal,6,1359.5
Lomophone,6,1441.0
PavielG,6,1952.0
fluffytailme,6,1896.6666666666667
papasi,6,2627.0
fushyumane,6,1345.0
chadnusJarlsen,6,1762.0
PIONEER1971,6,2381.0
Harun557,6,2008.0
Alex311287,6,1807.0
Hello_hellolynley,6,1298.0
rosatyj,6,1705.0
Magdy_2200,6,2001.0
Schachfreund43,6,2092.0
Richter_in_Prague,6,1589.0
ilcapodelsur,6,1982.0
ashfaqahmad,6,2120.0
newstyle96,6,2136.0
Igor_Perelygin,6,2410.0
Mustapekka,6,1322.0
nstepan,6,1436.0
psu4f4,6,1166.0
Derpsnurf,6,2396.0
treflytter,6,1765.0
NfsyAfoozNow,6,1949.0
RuyLopez1000,6,2206.0
DoppioGiro,6,1653.8333333333333
ArthurPsk,6,1627.0
adel22,6,2258.0
Benyamin_93,6,2273.0
melksham,6,2400.0
CommanderCore,6,1823.0
manuel-abarca,6,2595.0
Strelok2222,6,2632.8333333333335
jjjoerg,6,1625.0
Misticrosen,6,1700.0
pepomast21,6,1282.0
elenfoiro,6,1389.0
michelyglesias,6,2206.0
viktor_lalka,6,1572.0
tinchovic,6,1786.0
patricioooooooooo,6,2088.0
synsy,6,1662.0
Yakov_A_J,6,1665.0
HUGO_ZUR,6,2544.0
ANadezhdam22,6,1064.0
orangecrunch,6,1466.0
benedictusk,6,2221.0
radioversum,6,1408.0
denis_e_noskov,6,1450.0
hellec408,6,1217.0
Candypawn,6,1980.0
owwix,6,1182.0
redytar,6,1996.0
LEmonSQueezy86,6,1924.0
mib83,6,1958.0
dankkchess,6,1753.0
oberschlumpf,6,2310.0
Lorenzato89,6,1775.0
Inter_Milano,6,2638.0
Ogloblin,6,2557.0
zdime,6,1680.0
FlySooHigh,6,2561.0
josepry999,6,882.0
Abo_ayman_gaming,6,2054.0
conor-f,6,1763.0
ifekali,6,1687.0
onetruepixd,6,1718.0
Heri72,6,2376.0
pomnyashiy,6,1326.0
Komodo-101,6,1940.0
Logarithmus,6,2129.0
Fixinfix1,6,1579.0
ezekeriya,6,1504.0
Majnovia1917,6,1096.0
Balery62,6,1656.0
RohanBobby,6,2312.0
antoniorojasdelyas,6,1274.0
Tohiddadali1033,6,2325.0
Gigantobear,6,2434.0
BabySkellys,6,1000.0
chessyeg,6,2476.0
DistantFire,6,2061.0
DeLjeipn,6,2179.0
FabienMigneret,6,1001.0
Lawyerbodoh,6,1902.0
milord12,6,1282.0
DJ_Haubi,6,2408.6666666666665
Ntinos_40,6,1726.0
babyalkhin,6,2325.0
CatDevURandom,6,1464.0
amateurchessplayer,6,2143.0
KINGSFORD123,6,1425.0
Pajen74,6,2339.0
conan30,6,1300.0
urigchess,6,1592.0
cons1stency,6,1912.0
PaWiRy,6,967.0
carlvas,6,1333.0
Tahaned2015,6,2417.0
leon2807,6,2485.0
Juangomez693,6,1793.1666666666667
averageskill,6,2297.0
MrPolotenchiko,6,1498.0
iociprovo,6,1296.0
moradahmad,6,1672.0
bankerpg4,6,1563.0
Johnny_Joestar_Win,6,1240.0
calmiguana2000,6,1183.8333333333333
Belegeduk,6,2049.0
Ardenno,6,2232.0
basilef07,6,2126.0
pifion,6,2596.0
MartinAlbamonte,6,1438.0
Hisoka16,6,2174.0
DrHSc,6,1759.0
Parsa_chess85,5,2264.6
Naidre,5,1520.0
passbye,5,1188.0
miloin,5,1172.0
fEndYyInChesS,5,1933.0
lawstorant,5,2562.0
kmiconeee,5,2057.0
PALMA-GZ,5,1558.0
Fifth_column,5,2699.0
rogerramjet,5,1517.0
azaiza,5,2201.2
Angel1968,5,1248.0
kilian1322,5,1572.0
Bishop-861,5,1280.0
Schlotze,5,1411.0
geogia,5,1927.0
csdodo,5,2259.0
CG1976,5,1506.0
dumitrudoru,5,1622.0
Kuban23,5,2774.0
Chocolat-noir2,5,1872.0
abo-ammar-yrs,5,1469.0
dxm_94,5,1621.0
zbogdan185,5,2243.0
MichaelZemlyakov2011,5,2273.0
jsorel32,5,2376.0
grandmaster2479,5,2360.0
Meistermacher64,5,2644.0
shalygin1959A,5,2461.0
IvanFranco07,5,1384.0
miguelportillo,5,1853.0
NikolayArutyunov,5,2349.0
Dantes-Edmond,5,1661.0
Anacreonte,5,2245.0
